Linux 5.10.120-tegra (orin-desktop) 	2024년 09월 30일 	_aarch64_	(6 CPU)

17시 03분 32초   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17시 03분 33초  1000   2316104  19688.00      0.00 14551192 3419508  51.53  python3
17시 03분 34초  1000   2316104     35.00      0.00 14551192 3419508  51.53  python3
17시 03분 35초  1000   2316104     43.00      0.00 14551192 3419560  51.53  python3
17시 03분 36초  1000   2316104     40.00      0.00 14551192 3419560  51.53  python3
17시 03분 37초  1000   2316104     30.00      0.00 14551192 3419768  51.53  python3
17시 03분 38초  1000   2316104     39.00      0.00 14551192 3419824  51.53  python3
17시 03분 39초  1000   2316104  17298.00      0.00 14540212 3451080  52.00  python3
17시 03분 40초  1000   2316104   3279.00      0.00 14581448 3452620  52.03  python3
17시 03분 41초  1000   2316104     91.00      0.00 14581448 3452620  52.03  python3
17시 03분 42초  1000   2316104     89.00      0.00 14581448 3453188  52.04  python3
17시 03분 43초  1000   2316104     31.00      0.00 14581448 3453188  52.04  python3
17시 03분 44초  1000   2316104     46.00      0.00 14581448 3453188  52.04  python3
17시 03분 45초  1000   2316104     86.00      0.00 14581448 3453264  52.04  python3
17시 03분 46초  1000   2316104  21687.00      0.00 14292268 3214608  48.44  python3
17시 03분 47초  1000   2316104  52573.00      0.00       0       0   0.00  python3
